"","gene","Cluster","membership","timepoint","z"
"10187","8795","cluster[genes]~6",0.992151492573539,"d5",-0.656696519271631
"10188","8797","cluster[genes]~4",0.944675591975626,"d5",-0.864281388708202
"10189","8798","cluster[genes]~3",0.8364914407792,"d5",0.827361757073455
"10190","88","cluster[genes]~5",0.951543515595352,"d5",0.0167122383664874
"10191","8804","cluster[genes]~5",0.401516966244096,"d5",-1.40699952175473
"10192","8805","cluster[genes]~2",0.836003277208996,"d5",0.521150111486642
"10193","8809","cluster[genes]~6",0.883981253415141,"d5",-0.648889123667834
"10194","8814","cluster[genes]~4",0.998685522419468,"d5",-0.823450321772474
"10195","8817","cluster[genes]~5",0.910891074538696,"d5",-1.00929782787199
"10196","8820","cluster[genes]~3",0.99601442337716,"d5",1.15721602938867
"10197","8821","cluster[genes]~6",0.998341896988487,"d5",-0.702301675074172
"10198","8822","cluster[genes]~2",0.839485936516198,"d5",0.260179533205306
"10199","8823","cluster[genes]~2",0.810157091632467,"d5",0.38362574755739
"10200","8826","cluster[genes]~6",0.991095536752448,"d5",-0.37029731008296
"10201","8829","cluster[genes]~6",0.999169752569189,"d5",-0.61825793189207
"10202","883","cluster[genes]~4",0.983835931807086,"d5",-0.673604011830086
"10203","8838","cluster[genes]~4",0.748485848015892,"d5",-0.828810677124025
"10204","8840","cluster[genes]~6",0.999304706320437,"d5",-0.566633578844759
"10205","8842","cluster[genes]~3",0.987730280551558,"d5",1.11090922646297
"10206","8848","cluster[genes]~3",0.822705102345013,"d5",0.78832690206606
"10207","885","cluster[genes]~3",0.785022925950851,"d5",0.716647949734093
"10208","8850","cluster[genes]~3",0.909260214688909,"d5",1.37234237589703
"10209","8851","cluster[genes]~1",0.426757491776707,"d5",0.704181692978106
"10210","8854","cluster[genes]~1",0.535460811168423,"d5",1.47826275474547
"10211","8856","cluster[genes]~5",0.992478180645713,"d5",-0.28260045600783
"10212","8862","cluster[genes]~6",0.999639132077216,"d5",-0.538772502639252
"10213","8869","cluster[genes]~6",0.999777014896046,"d5",-0.572432385723543
"10214","887","cluster[genes]~3",0.995676505480934,"d5",1.23575467356502
"10215","8871","cluster[genes]~6",0.999131535438977,"d5",-0.613266846239606
"10216","8877","cluster[genes]~4",0.976736577999424,"d5",-1.19350397328384
"10217","889","cluster[genes]~6",0.999171765482538,"d5",-0.712411937235674
"10218","89","cluster[genes]~3",0.99525108574547,"d5",0.959925201703648
"10219","8900","cluster[genes]~5",0.937566952294562,"d5",-0.837900749161929
"10220","8905","cluster[genes]~3",0.968009214970933,"d5",1.23650976915183
"10221","8906","cluster[genes]~3",0.894761067622014,"d5",1.37294419224383
"10222","8908","cluster[genes]~3",0.5602750022865,"d5",0.604461591595781
"10223","8911","cluster[genes]~1",0.809521476839405,"d5",0.981259689671431
"10224","8912","cluster[genes]~2",0.533057128922952,"d5",0.396498220780649
"10225","8913","cluster[genes]~4",0.502121750701864,"d5",-0.739767864352012
"10226","8926","cluster[genes]~3",0.786251587453266,"d5",0.717547662811029
"10227","8928","cluster[genes]~3",0.50606127200946,"d5",0.618614892935593
"10228","8929","cluster[genes]~5",0.872583762746083,"d5",-0.85229238123677
"10229","8932","cluster[genes]~5",0.957164530863572,"d5",-0.886870496571866
"10230","8933","cluster[genes]~6",0.998313250502488,"d5",-0.736680757318259
"10231","8935","cluster[genes]~6",0.727190049071802,"d5",-1.059573196721
"10232","8938","cluster[genes]~2",0.872181322459506,"d5",0.313175660375921
"10233","894","cluster[genes]~6",0.967869205794544,"d5",-0.837534525531005
"10234","8941","cluster[genes]~1",0.546404160851117,"d5",0.667313318744543
"10235","8942","cluster[genes]~3",0.957782471720046,"d5",1.33075777809491
"10236","8944","cluster[genes]~5",0.994452280902936,"d5",-0.64613531248292
"10237","896","cluster[genes]~6",0.99375417576707,"d5",-0.818133459540286
"10238","89765","cluster[genes]~2",0.944228440837443,"d5",0.196009454559265
"10239","89778","cluster[genes]~4",0.5046787221992,"d5",-0.756454520192784
"10240","89780","cluster[genes]~5",0.985939171243903,"d5",-0.558210493627939
"10241","89792","cluster[genes]~3",0.998777761342171,"d5",1.08694008195077
"10242","89795","cluster[genes]~1",0.516877218816531,"d5",0.465513917058355
